#Copyrighthttps://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
#https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
Date,Winner,Pts,Loser,Pts,
43729,SanJoseState,31,Arkansas,24,
43729,SouthernMethodist,41,TexasChristian,38,
43729,Syracuse,52,WesternMichigan,33,
43729,Texas,36,OklahomaState,30,
43729,TexasState,37,GeorgiaState,34,
43729,Toledo,41,ColoradoState,35,
43729,Troy,35,Akron,7,
43729,Tulsa,24,Wyoming,21,
43729,UCLA,67,WashingtonState,63,
43729,UtahState,23,SanDiegoState,17,
43729,Virginia,28,OldDominion,17,
43729,WakeForest,49,Elon,7,
43729,Washington,45,BrighamYoung,19,
43729,WestVirginia,29,Kansas,24,
43729,Wisconsin,35,Michigan,14,
43734,Memphis,35,Navy,23,
43735,AirForce,41,SanJoseState,24,
43735,ArizonaState,24,California,17,
43735,Duke,45,VirginiaTech,10,
43735,PennState,59,Maryland,0,
43736,Alabama,59,Mississippi,31,
43736,AppalachianState,56,CoastalCarolina,37,
43736,Arizona,20,UCLA,17,
43736,ArkansasState,50,Troy,43,
43736,Auburn,56,MississippiState,23,
43736,Baylor,23,IowaState,21,
43736,CentralFlorida,56,Connecticut,21,
43736,Cincinnati,52,Marshall,14,
43736,Clemson,21,NorthCarolina,20,
43736,EastCarolina,24,OldDominion,21,
43736,Florida,38,Towson,0,
43736,FloridaAtlantic,45,Charlotte,27,
43736,FloridaState,31,NorthCarolinaState,13,
43736,FresnoState,30,NewMexicoState,17,
43736,Hawaii,54,Nevada,3,
43736,Houston,46,NorthTexas,25,
43736,Iowa,48,MiddleTennesseeState,3,
43736,Liberty,17,NewMexico,10,
43736,Louisiana,37,GeorgiaSouthern,24,
43736,LouisianaTech,23,Rice,20,
43736,Louisiana-Monroe,30,SouthAlabama,17,
43736,Massachusetts,37,Akron,29,
43736,Miami(OH),34,Buffalo,20,
43736,Michigan,52,Rutgers,0,
43736,MichiganState,40,Indiana,31,
43736,Minnesota,38,Purdue,31,
43736,NotreDame,35,Virginia,20,
43736,OhioState,48,Nebraska,7,
43736,Oklahoma,55,TexasTech,16,
43736,OklahomaState,26,KansasState,13,
43736,Pittsburgh,17,Delaware,14,
43736,SouthCarolina,24,Kentucky,7,
43736,SouthernMethodist,48,SouthFlorida,21,
43736,SouthernMississippi,31,Texas-ElPaso,13,
43736,Stanford,31,OregonState,28,
43736,Syracuse,41,HolyCross,3,
43736,Temple,24,GeorgiaTech,2,
43736,TexasA&M,31,Arkansas,27,
43736,TexasChristian,51,Kansas,14,
43736,TexasState,24,NichollsState,3,
43736,Toledo,28,BrighamYoung,21,
